priority,role,company,location,type,why_fit,status,link,notes
1,Graduate In Training - AI Development (Linux),Valeo,Cairo,Egypt,New-grad program + AI/ML + Linux deploys (your MarketMate prod experience),Not started,https://www.linkedin.com/jobs/search/?keywords=Graduate%20In%20Training%20AI%20Development&location=Cairo%2C%20Egypt,
1,Graduate In Training - Full-Stack Cloud Web,Valeo,Cairo,Egypt,New-grad full-stack program = your exact lane,Not started,https://www.linkedin.com/jobs/search/?keywords=Graduate%20In%20Training%20Full-Stack%20Cloud%20Web&location=Cairo%2C%20Egypt,
2,.NET Developer - Fresh,CODE81,Cairo,Egypt,ASP.NET Core + EF Core from Habit Tracker,Not started,https://www.linkedin.com/jobs/search/?keywords=.NET%20Developer%20Fresh&location=Cairo%2C%20Egypt,
2,Backend Engineer - Django,blnk,Cairo,Egypt,Python backend = your strongest language,Not started,https://www.linkedin.com/jobs/search/?keywords=Backend%20Engineer%20Django&location=Cairo%2C%20Egypt,
2,Full Stack Developer,Nawy,Cairo,Egypt,PropTech scale-up full-stack fit,Not started,https://www.linkedin.com/jobs/search/?keywords=Full%20Stack%20Developer&location=Cairo%2C%20Egypt,
2,Junior .NET Developer - Fresh Graduates,Accenture,Cairo,Egypt,Fresh-grad .NET global name,Not started,https://www.linkedin.com/jobs/search/?keywords=Junior%20.NET%20Developer%20Fresh%20Graduates&location=Cairo%2C%20Egypt,
3,Java Software Engineer,Banque Misr,Cairo,Egypt,You know Java; banking = stability,Not started,https://www.linkedin.com/jobs/search/?keywords=Java%20Software%20Engineer&location=Cairo%2C%20Egypt,
3,Software Engineer - Full Stack,Sumerge,Cairo,Egypt,Egyptian SI full-stack,Not started,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer%20Full%20Stack&location=Cairo%2C%20Egypt,
3,Junior Software Engineer (LIGHT/BRAIN),Valeo,Cairo,Egypt,Multiple junior SE openings,Not started,https://www.linkedin.com/jobs/search/?keywords=Junior%20Software%20Engineer&location=Cairo%2C%20Egypt,
1,AI Engineer (AWS & Generative AI),Registfy,Cairo,Egypt,GenAI + your LangChain/Gemini RAG work is the headline,Not started,https://www.linkedin.com/jobs/search/?keywords=AI%20Engineer%20Generative%20AI&location=Cairo%2C%20Egypt,
1,AI Engineer,Tuba (طوبى),Cairo,Egypt,AI dev role early-stage,Not started,https://www.linkedin.com/jobs/search/?keywords=AI%20Engineer&location=Cairo%2C%20Egypt,
2,AI Developer,Coca-Cola HBC,Cairo,Egypt,Enterprise AI brand name,Not started,https://www.linkedin.com/jobs/search/?keywords=AI%20Developer&location=Cairo%2C%20Egypt,
2,Forward Deployed AI Engineer,BCG X,Cairo,Egypt,Top-tier AI consulting Cairo,Not started,https://www.linkedin.com/jobs/search/?keywords=Forward%20Deployed%20AI%20Engineer&location=Cairo%2C%20Egypt,
2,AI Engineer (AI4ALL / LIGHT),Valeo,Cairo,Egypt,Multiple AI pods hiring,Not started,https://www.linkedin.com/jobs/search/?keywords=AI%20Engineer%20Valeo&location=Cairo%2C%20Egypt,
2,Backend Junior (Python/TS),Stratalis,Remote,Remote (EU TZ),Python/TS junior backend,Not started,https://www.linkedin.com/jobs/search/?keywords=Backend%20Junior%20Python%20TypeScript&location=Remote,confirm EU hours
2,Software Engineer L2 / Junior,Zof AI,Remote,Remote,Junior SE,Not started,https://www.linkedin.com/jobs/search/?keywords=Software%20Engineer%20Junior&location=Remote,
3,Junior Fullstack (.NET & React),Deloitte,Remote,Remote,.NET + React junior,Not started,https://www.linkedin.com/jobs/search/?keywords=Junior%20Fullstack%20.NET%20React&location=Remote,
3,Junior .NET Developer - Fresh Grads,Accenture,Remote,Remote,.NET fresh grads,Not started,https://www.linkedin.com/jobs/search/?keywords=Junior%20.NET%20Developer%20Fresh%20Graduates&location=Remote,
